"Official_country","Cost_ID","InvaCost_ID","Repository","Reference_ID","Reference_title","Authors","Abstract","Publication_year","Language","Type_of_material","Previous_materials","Availability","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Common_name","Environment","Environment_IAS","HabitatVerbatim","Habitat","urbanArea","protectedArea","Island","Geographic_region","State.Province.Administrative_area","Location","Spatial_scale","Period_of_estimation","Time_range","Probable_starting_year","Probable_ending_year","Probable_starting_year_adjusted","Probable_ending_year_adjusted","Occurrence","Raw_cost_estimate_original_currency","Min_Raw_cost_estimate_original_currency","Max_Raw_cost_estimate_original_currency","Raw_cost_estimate_2017_USD_exchange_rate","Raw_cost_estimate_2017_USD_PPP","Cost_estimate_per_year_original_currency","Cost_estimate_per_year_2017_USD_exchange_rate","Cost_estimate_per_year_2017_USD_PPP","Currency","Applicable_year","Type_of_applicable_year","Implementation","Acquisition_method","Impacted_sector","Type_of_cost","Type_of_cost_merged","Management_type","Method_reliability","Method_reliability_refined","Method_reliability_Explanation","Method_reliability_Expert_Name","Overlap","Benefit_value.s.","Details","Initial.contributors_names","Double.checking","cost","cost_bil","cost_mil","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","log.cost","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Belgium","SC784","IC_2.1_5953",NA,"Brundu2014","Plant invaders in European and Mediterranean inland waters: profiles, distribution, and threats","Brundu, G.","The present brief and selective review


focuses on a set of invasive alien aquatic plant species


(notably the 21 listed by the European and Mediterranean


Plant ProtectionOrganisation, i.e., five A2 species,


11 invasive, 2 in the Observation List, 1 in the Alert List,


2 noteworthy), on definitions in use, on introduction


pathways, and ecological effects, although the social


and economic effects of freshwater invaders can be


diverse and substantial. Legislation, literature, and


scientific research dealing with plant invasions in inland


waters often merge different types of invasive plant


species and invaded habitats, as there are some


overlappings between the concepts of macrophyte,


aquatic plants, inland waters, wetlands, and riparian


habitats. Freshwater ecosystems may well be the most


endangered ecosystems in the world. Countless aquatic


plants have been introduced in Europe and in the


Mediterranean region, either deliberately because they


were thought to be ornamental or otherwise desirable, or


accidentally as releases from aquaria, dumping from


water gardens, or contaminants. The escape of alien


plants from managed environments is also frequent.


Aquatic invaders have strong negative impacts on native


biodiversity and many different impacts are reported in


the literature for Europe and worldwide. Plant invasions


in inlandwatersmay be considered as one of a syndrome


of factors that characterize degraded aquatic ecosystems.


There are a number of risk analysis, impact


assessment, ranking systems, decision trees, and prioritization


methods available throughout Europe and the


EPPO region, but the lack of a common framework for


assessing the risks posed by invasive alien aquatic


species is seen as a key gap. Successful management


should include prevention, habitat restoration, dedicated


risk assessment, prioritization, awareness raising, dedicated


legislation, collaboration between different


stakeholders, development of codes of conduct with


the horticultural sector, and prohibiting the sale,


purchase, and intentional release of some species in


the wild. Actions to protect the European and Mediterranean


inland waters from plants invasions are urgently


needed and could provide overarching benefits.",2015,"English","Peer-reviewed article",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia grandiflora",NA,"water primrose","Aquatic","Aquatic",NA,"11","other","N","N","Europe",NA,"Belgium","other","2005","Year",2005,2005,2005,2005,"One-time",140000,NA,NA,218612.115999433,197042.863157116,140000,218612.115999433,197042.863157116,"EUR",2005,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"yes","In Belgium, sums


of 140,000 and 126,000 euros were, respectively,


spent in 2005 and 2006 to clear 25 ha invaded with L.


grandiflora (De Bruyn et al., 2007).","Ross Cuthbert","No",218612.115999433,0.000218612115999433,0.218612115999433,11484055,30530,376.16,5.3e+11,4,1385,12.2950542786206,0.7,19.2,12.3,69.4,0,22.8,10.7
"Belgium","NE4737","IC_2.1_4721","Gs","NL17","Beheer van de stierkikker in Vlaanderen en Nederland","Devisscher et al",NA,2012,"Dutch","Official report",NA,"Yes","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus",NA,"Bullfrog","Aquatic/Terrestrial","Semi-aquatic",NA,NA,"other","N","N","Europe",NA,"Vlaanderen","Site","2010-2012","Period",2010,2012,2010,2012,"One-time",390500,NA,NA,535636.754434779,507101.011963854,130166.666666667,178545.584811593,169033.670654618,"EUR",2012,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Communication/Eradication/Research","Management","Mixed","High",NA,NA,NA,NA,"no","See Table 6 in report. Total expenditure in project. (the cost is for a region in Belgium)","Laura Verbrugge/Phillip Haubrock/Elena Angulo/Nigel Taylor/Christophe Diagne","Yes",178545.584811593,0.000178545584811593,0.178545584811593,11484055,30530,376.16,5.3e+11,4,1385,12.0925992246944,0.7,19.2,12.3,69.4,0,22.8,10.7
"Bulgaria","SC1162","IC_2.1_6303","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Bulgaria","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",1500000,NA,NA,2275251.77142398,2331528.5415323,1500000,2275251.77142398,2331528.5415323,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed based on workers who suffer additional allergenic symptoms due to ragweed losing 1.5% of their work productivity, valued according to their national average Gross Value Added per worker.","Marina Golivets","No",2275251.77142398,0.00227525177142398,2.27525177142398,6975761,111000,62.84,67927179737,5,1808,14.6376012730016,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Bulgaria","SC1910","IC_2.1_6909","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial","arable land","12b","other","N","N","Europe",NA,"Bulgaria","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",1.75e+08,NA,NA,265446039.999464,272011663.178768,1.75e+08,265446039.999464,272011663.178768,"EUR",2011,"Effective","Observed","Extrapolation","Agriculture","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted area of cropland subject to invasion by ragweed. Costs were calculated for residual loss of crop yields (assuming a 25% loss of crop yield for crops invaded by ragweed)","Marina Golivets","No",265446039.999464,0.265446039999464,265.446039999464,6975761,111000,62.84,67927179737,5,1808,19.396922138817,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Bulgaria","SC1637","IC_2.1_6690","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Bulgaria","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",25800000,NA,NA,39134330.4684924,40102290.9143555,25800000,39134330.4684924,40102290.9143555,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted human population exposed to ragweed pollen. Costs were calculated in relation to increased costs of medication (assumed to be €303 yr‐1) and of staff time to give treatment (with costs based on countries wage rates for nurses and doctors assuming 1 hr of additional consultation and treatment time per affected individual).","Marina Golivets","No",39134330.4684924,0.0391343304684924,39.1343304684924,6975761,111000,62.84,67927179737,5,1808,17.4825106568211,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Croatia","SC1670","IC_2.1_6715","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Croatia","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",30500000,NA,NA,46263452.6856208,8856814.17701699,30500000,46263452.6856208,8856814.17701699,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted human population exposed to ragweed pollen. Costs were calculated in relation to increased costs of medication (assumed to be €303 yr‐1) and of staff time to give treatment (with costs based on countries wage rates for nurses and doctors assuming 1 hr of additional consultation and treatment time per affected individual).","Marina Golivets","No",46263452.6856208,0.0462634526856208,46.2634526856208,4067500,56590,71.88,60415553039,5,1365,17.6498628485068,2.9,20,11.9,59.5,0.2,34.6,7
"Croatia","SC1821","IC_2.1_6834","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial","arable land","12b","other","N","N","Europe",NA,"Croatia","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",8.8e+07,NA,NA,133481437.256873,25554086.8058195,8.8e+07,133481437.256873,25554086.8058195,"EUR",2011,"Effective","Observed","Extrapolation","Agriculture","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted area of cropland subject to invasion by ragweed. Costs were calculated for residual loss of crop yields (assuming a 25% loss of crop yield for crops invaded by ragweed)","Marina Golivets","No",133481437.256873,0.133481437256873,133.481437256873,4067500,56590,71.88,60415553039,5,1365,18.7094729793717,2.9,20,11.9,59.5,0.2,34.6,7
"Croatia","SC1308","IC_2.1_6425","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Croatia","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",3800000,NA,NA,5763971.15427407,1103471.9302513,3800000,5763971.15427407,1103471.9302513,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed based on workers who suffer additional allergenic symptoms due to ragweed losing 1.5% of their work productivity, valued according to their national average Gross Value Added per worker.","Marina Golivets","No",5763971.15427407,0.00576397115427407,5.76397115427407,4067500,56590,71.88,60415553039,5,1365,15.5671372316258,2.9,20,11.9,59.5,0.2,34.6,7
"Cyprus","SC747","IC_2.1_5917","Go","Galandi2018","Study on Invasive Alien Species – Development of Risk Assessments: Final Report (year 2). Risk assessment template developed under the ""Study on Invasive Alien Species – Development of risk assessments to tackle priority species and enhance prevention"" Contract No 07.0202/2017/763379/ETU/ENV.D.2","Marika Galanidi, Argyro Zenetos, Daniel S. Chapman",NA,2018,"English","Report",NA,"Yes","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus sceleratus",NA,"silver-cheeked toadfish","Aquatic","Aquatic",NA,"11","other",NA,"Y","Asia",NA,"Mediterranean","Country","2012","Year",2012,2012,2012,2012,"One-time",102480,NA,NA,140568.641727212,154784.423394278,102480,140568.641727212,154784.423394278,"EUR",2012,"Effective","Observed","Report/Estimation","Fishery","Control/Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","population control campaigns with intensive targeted fishery of the breeding population of the species in the summer months have taken place in Cyprus in 2012-2016. 


The amount paid to beneficiaries was €3/kg and it amounted to €600K in 5 years through a management plan partly covered by European fisheries funds [€102480 (34160 kg) in 2012, €43.800 in 2013, €164.940 (54.980 kg) in 2014, €249.465 (83.155 kg) in 2015, €41.235 (13.745 kg) in 2016] (DFMR Cyprus 2011, 2012, 2013, 2014, 2015, 2016).","Melina Kourantidou","No",140568.641727212,0.000140568641727212,0.140568641727212,1198575,9250,129.58,24564647935,0,0,11.8534512016713,1.8,12.8,5.5,73,0,18.7,7
"Cyprus","SC2524","IC_4.0_5","GS","LIFENature_2017","Preventing a LIONfish invasion in the MEDiterranean through early response and targeted REmoval (RELIONMED)","LIFE+ Nature and Biodiversity 2017-2021","RELIONMED is a four-year project, funded by €1,676,077 from the European Union’s LIFE programme, seeking to stem a lionfish invasion in the Mediterranean Sea.The venomous fish has been identified as the most ecologically harmful species to be invading southern European waters, and is responsible for significant impacts on biodiversity due to its predatory behaviour and rapid reproduction.Working with the University of Cyprus, Plymouth scientists will be helping to coordinate a number of different activities, including the development and implementation of an early surveillance and detection system, and a removal response strategy.",2017,"english","Report","none","Yes","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Pterois","Pterois volitans",NA,"lionfish","Aquatic","Aquatic",NA,"11","other","N","Y","Asia",NA,"Cyprus","Country","2017","Period",2017,2021,2017,2021,"One-time",1676077,NA,NA,1893432.6372153,2724511.94218714,335215.4,378686.527443059,544902.388437428,"EUR",2017,"Publication year","Observed","Report/Estimation","Public and social welfare","Research","Management","Knowledge funding","High",NA,NA,NA,NA,"no","https://www.plymouth.ac.uk/research/marine-conservation-research-group/relionmed","Phillip J. Haubrock","No",378686.527443059,0.000378686527443059,0.378686527443059,1198575,9250,129.58,24564647935,0,0,12.8444640374531,1.8,12.8,5.5,73,0,18.7,7
"Cyprus","SC596","IC_2.1_5771","Go","Galandi2018","Study on Invasive Alien Species – Development of Risk Assessments: Final Report (year 2). Risk assessment template developed under the ""Study on Invasive Alien Species – Development of risk assessments to tackle priority species and enhance prevention"" Contract No 07.0202/2017/763379/ETU/ENV.D.2","Marika Galanidi, Argyro Zenetos, Daniel S. Chapman",NA,2018,"English","Report",NA,"Yes","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus sceleratus",NA,"silver-cheeked toadfish","Aquatic","Aquatic",NA,"11","other",NA,"Y","Asia",NA,"Mediterranean","Country","2016","Year",2016,2016,2016,2016,"One-time",41235,NA,NA,46615.399159087,65327.595505536,41235,46615.399159087,65327.595505536,"EUR",2016,"Effective","Observed","Report/Estimation","Fishery","Control/Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","population control campaigns with intensive targeted fishery of the breeding population of the species in the summer months have taken place in Cyprus in 2012-2016. 


The amount paid to beneficiaries was €3/kg and it amounted to €600K in 5 years through a management plan partly covered by European fisheries funds [€102480 (34160 kg) in 2012, €43.800 in 2013, €164.940 (54.980 kg) in 2014, €249.465 (83.155 kg) in 2015, €41.235 (13.745 kg) in 2016] (DFMR Cyprus 2011, 2012, 2013, 2014, 2015, 2016).","Melina Kourantidou","No",46615.399159087,4.6615399159087e-05,0.046615399159087,1198575,9250,129.58,24564647935,0,0,10.7496862195835,1.8,12.8,5.5,73,0,18.7,7
"Cyprus","SC863","IC_2.1_6029","Go","Galandi2018","Study on Invasive Alien Species – Development of Risk Assessments: Final Report (year 2). Risk assessment template developed under the ""Study on Invasive Alien Species – Development of risk assessments to tackle priority species and enhance prevention"" Contract No 07.0202/2017/763379/ETU/ENV.D.2","Marika Galanidi, Argyro Zenetos, Daniel S. Chapman",NA,2018,"English","Report",NA,"Yes","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus sceleratus",NA,"silver-cheeked toadfish","Aquatic","Aquatic",NA,"11","other",NA,"Y","Asia",NA,"Mediterranean","Country","2015","Year",2015,2015,2015,2015,"One-time",249465,NA,NA,286246.699509756,389153.065239064,249465,286246.699509756,389153.065239064,"EUR",2015,"Effective","Observed","Report/Estimation","Fishery","Control/Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","population control campaigns with intensive targeted fishery of the breeding population of the species in the summer months have taken place in Cyprus in 2012-2016. 


The amount paid to beneficiaries was €3/kg and it amounted to €600K in 5 years through a management plan partly covered by European fisheries funds [€102480 (34160 kg) in 2012, €43.800 in 2013, €164.940 (54.980 kg) in 2014, €249.465 (83.155 kg) in 2015, €41.235 (13.745 kg) in 2016] (DFMR Cyprus 2011, 2012, 2013, 2014, 2015, 2016).","Melina Kourantidou","No",286246.699509756,0.000286246699509756,0.286246699509756,1198575,9250,129.58,24564647935,0,0,12.5646093036872,1.8,12.8,5.5,73,0,18.7,7
"Cyprus","SC803","IC_2.1_5971","Go","Galandi2018","Study on Invasive Alien Species – Development of Risk Assessments: Final Report (year 2). Risk assessment template developed under the ""Study on Invasive Alien Species – Development of risk assessments to tackle priority species and enhance prevention"" Contract No 07.0202/2017/763379/ETU/ENV.D.2","Marika Galanidi, Argyro Zenetos, Daniel S. Chapman",NA,2018,"English","Report",NA,"Yes","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus sceleratus",NA,"silver-cheeked toadfish","Aquatic","Aquatic",NA,"11","other",NA,"Y","Asia",NA,"Mediterranean","Country","2014","Year",2014,2014,2014,2014,"One-time",164940,NA,NA,226882.607122247,251254.73624859,164940,226882.607122247,251254.73624859,"EUR",2014,"Effective","Observed","Report/Estimation","Fishery","Control/Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","population control campaigns with intensive targeted fishery of the breeding population of the species in the summer months have taken place in Cyprus in 2012-2016. 


The amount paid to beneficiaries was €3/kg and it amounted to €600K in 5 years through a management plan partly covered by European fisheries funds [€102480 (34160 kg) in 2012, €43.800 in 2013, €164.940 (54.980 kg) in 2014, €249.465 (83.155 kg) in 2015, €41.235 (13.745 kg) in 2016] (DFMR Cyprus 2011, 2012, 2013, 2014, 2015, 2016).","Melina Kourantidou","No",226882.607122247,0.000226882607122247,0.226882607122247,1198575,9250,129.58,24564647935,0,0,12.3321880134545,1.8,12.8,5.5,73,0,18.7,7
"Cyprus","SC610","IC_2.1_5785","Go","Galandi2018","Study on Invasive Alien Species – Development of Risk Assessments: Final Report (year 2). Risk assessment template developed under the ""Study on Invasive Alien Species – Development of risk assessments to tackle priority species and enhance prevention"" Contract No 07.0202/2017/763379/ETU/ENV.D.2","Marika Galanidi, Argyro Zenetos, Daniel S. Chapman",NA,2018,"English","Report",NA,"Yes","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus sceleratus",NA,"silver-cheeked toadfish","Aquatic","Aquatic",NA,"11","other",NA,"Y","Asia",NA,"Mediterranean","Country","2013","Year",2013,2013,2013,2013,"One-time",43800,NA,NA,61208.6605183008,67053.4408909179,43800,61208.6605183008,67053.4408909179,"EUR",2013,"Effective","Observed","Report/Estimation","Fishery","Control/Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","population control campaigns with intensive targeted fishery of the breeding population of the species in the summer months have taken place in Cyprus in 2012-2016. 


The amount paid to beneficiaries was €3/kg and it amounted to €600K in 5 years through a management plan partly covered by European fisheries funds [€102480 (34160 kg) in 2012, €43.800 in 2013, €164.940 (54.980 kg) in 2014, €249.465 (83.155 kg) in 2015, €41.235 (13.745 kg) in 2016] (DFMR Cyprus 2011, 2012, 2013, 2014, 2015, 2016).","Melina Kourantidou","No",61208.6605183008,6.12086605183008e-05,0.0612086605183008,1198575,9250,129.58,24564647935,0,0,11.0220439702255,1.8,12.8,5.5,73,0,18.7,7
"Czechia","SC1259","IC_2.1_6383","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial","arable land","12b","other","N","N","Europe",NA,"Czechia","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",3e+06,NA,NA,4550503.54284795,244965.925548584,3e+06,4550503.54284795,244965.925548584,"EUR",2011,"Effective","Observed","Extrapolation","Agriculture","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted area of cropland subject to invasion by ragweed. Costs were calculated for residual loss of crop yields (assuming a 25% loss of crop yield for crops invaded by ragweed)","Marina Golivets","No",4550503.54284795,0.00455050354284795,4.55050354284795,10669709,78870,135.28,2.46e+11,4,1881,15.3307484535616,1.9,31.5,22.6,57,0.3,34.7,7.8
"Czechia","SC1236","IC_2.1_6364","TC","Linc2012","Efektivita likvidace invazních druhů v České republice na příkladu bolševníku velkolepého [The


efficiency of eradication of invasive species in the Czech Republic exemplified by Heracleum mantegazzianum].","Linc","The aim of this work is to estimate the damage to environment caused by invasive plant Giant Hogweed (Heracleum mantegazzianum) in Czech Republic. Using the replacement costs method I found that the damages reach about 2.5 millions CZK each year. That equals amount of money annualy spent on eradication of Giant Hogweed by government. Model of elimination of the plant in CR subsequently revealed that the costs of its total eradication equals about 170 millions CZK a year in a five year project. Such project would be uneconomical at present, but postponing the solution causes nearly exponential increase of its future costs. //Cílem této práce je odhadnout, jaké ekonomické škody v České republice způsobuje kvůli znehodnocení ţivotního prostředí invazní druh bolševník velkolepý (Heracleum mantegazzianum). Metodou nákladů na obnovu bylo zjištěno, ţe škody ročně dosahují výše zhruba 2,5 milionu korun. To odpovídá sumě, kterou stát v současné době na likvidaci bolševníku velkolepého vynakládá. Model celkové likvidace následně ukázal, ţe náklady na kompletní vymýcení rostliny z území ČR, by se měly rovnat částce odhadem 170 milionů korun ročně po dobu pěti let. V současnosti by sice byl takový projekt ekonomicky nevýhodný, odkládání komplexnějšího zásahu ale způsobuje téměř exponenciální růst nákladů takového opatření v budoucnosti.",2012,"Czech","Bc. thesis","Pysek et al. (2012) Plant invasions in the Czech Republic: current state, introduction dynamics, invasive species and invaded habitats. Preslia 84: 575–629","Yes","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","Heracleum mantegazzianum",NA,"giant hogweed","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe",NA,"Diverse/Unspecified","Country","2001-2010","Year",2001,2010,2001,2010,"Potentially ongoing",2490643,NA,NA,135822.550681232,199964.368719869,2490643,135822.550681232,199964.368719869,"CZK",2012,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"yes","Abstract: ""Using the replacement costs method I found that the damages reach about 2.5 millions CZK each year. That equals amount of money annualy spent on eradication of Giant Hogweed by government."" Precise cost estimate, and further description in Czech, on pp29.","Nigel Taylor/Liliana Ballesteros-Mejia/Elena Angulo/Christophe Diagne","Yes",135822.550681232,0.000135822550681232,0.135822550681232,10669709,78870,135.28,2.46e+11,4,1881,11.8191045383562,1.9,31.5,22.6,57,0.3,34.7,7.8
"Czechia","SC2346","IC_2.1_7275","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Czechia","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",1100000,NA,NA,1668517.96571092,89820.8393678142,1100000,1668517.96571092,89820.8393678142,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted human population exposed to ragweed pollen. Costs were calculated in relation to increased costs of medication (assumed to be €303 yr‐1) and of staff time to give treatment (with costs based on countries wage rates for nurses and doctors assuming 1 hr of additional consultation and treatment time per affected individual).","Marina Golivets","No",1668517.96571092,0.00166851796571092,1.66851796571092,10669709,78870,135.28,2.46e+11,4,1881,14.3274463446978,1.9,31.5,22.6,57,0.3,34.7,7.8
"Denmark","SC26_DK26","IC_4.0_527","Go","Miljostyrelsen6_2017","Faktaark for invasive arter – Signalkrebs (Pacifastacus leniusculus)","Miljøstyrelsen , 7",NA,2017,"Danish","Fact sheet","Iversen, K., Vindum, K.E. og Hansen, M. 2011. Bekæmpelse af signalkrebs i Alling Å-systemet. Danmarks Center for Vildlaks.","Yes","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Pacifastacus","Pacifastacus leniusculus",NA,"Signal crayfish","Aquatic","Aquatic",NA,"11","other",NA,NA,"Europe",NA,NA,"Site","1 August 2009 to 1 November 2010.","Period",2009,2010,2009,2010,"One-time",1500000,NA,NA,304462.716024818,218921.080411869,750000,152231.358012409,109460.540205934,"DKK",2011,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,"SC24_DK24/SC25_DK25/SC26_DK26","no","One mapping project analysis has been conducted from Alling stream that did cost  250.000 DKK and in the same location attemps have been conducted with the purposes of eradicating the Signal Crayfish with a sum of 1,5 million DKK and with 60.000 species caught. Can't verify the original reference Himmelstrup, J. 2009.","Melina Kourantidou","No",152231.358012409,0.000152231358012409,0.152231358012409,5818553,42920,135.57,3.48e+11,1,68,11.9331567348071,1.2,21.2,13.7,64.7,0,15.7,10
"Denmark","SC732","IC_2.1_5902","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Denmak","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",1e+05,NA,NA,151683.451428265,14594.7386941246,1e+05,151683.451428265,14594.7386941246,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted human population exposed to ragweed pollen. Costs were calculated in relation to increased costs of medication (assumed to be €303 yr‐1) and of staff time to give treatment (with costs based on countries wage rates for nurses and doctors assuming 1 hr of additional consultation and treatment time per affected individual).","Marina Golivets","No",151683.451428265,0.000151683451428265,0.151683451428265,5818553,42920,135.57,3.48e+11,1,68,11.9295510718994,1.2,21.2,13.7,64.7,0,15.7,10
